date,avg_temperature,precipitation,snow(mm)
16.06.2019,17.9,0.0,0.0
17.06.2019,20.4,0.0,0.0
18.06.2019,22.8,0.0,0.0
19.06.2019,24.3,0.9,0.0
20.06.2019,21.0,1.9,0.0
21.06.2019,19.5,0.0,0.0
22.06.2019,20.1,0.0,0.0
23.06.2019,21.2,0.0,0.0
24.06.2019,22.8,0.0,0.0
25.06.2019,25.5,0.0,0.0
26.06.2019,27.9,0.0,0.0
27.06.2019,19.3,0.0,0.0
28.06.2019,17.9,0.0,0.0
29.06.2019,21.7,0.0,0.0
30.06.2019,27.6,0.0,0.0
01.07.2019,22.3,0.0,0.0
02.07.2019,17.5,0.0,0.0
03.07.2019,15.3,0.0,0.0
04.07.2019,16.6,0.0,0.0
05.07.2019,18.4,0.0,0.0
06.07.2019,17.4,7.1,0.0
07.07.2019,14.8,0.0,0.0
08.07.2019,14.1,0.2,0.0
09.07.2019,14.3,0.0,0.0
10.07.2019,16.0,0.0,0.0
11.07.2019,18.0,1.2,0.0
12.07.2019,17.9,0.5,0.0
13.07.2019,18.6,2.5,0.0
14.07.2019,16.6,0.0,0.0
15.07.2019,15.3,0.0,0.0
16.07.2019,16.5,0.0,0.0
17.07.2019,16.7,0.0,0.0
18.07.2019,19.9,0.0,0.0
19.07.2019,20.3,0.0,0.0
20.07.2019,22.2,19.1,0.0
21.07.2019,20.6,0.0,0.0
22.07.2019,19.8,0.0,0.0
23.07.2019,23.1,0.0,0.0
24.07.2019,24.4,0.0,0.0
25.07.2019,25.7,0.0,0.0
26.07.2019,24.6,0.0,0.0
27.07.2019,23.3,0.0,0.0
28.07.2019,24.5,0.0,0.0
29.07.2019,24.9,1.1,0.0
30.07.2019,21.9,0.0,0.0
31.07.2019,19.2,23.2,0.0
01.08.2019,18.7,0.3,0.0
02.08.2019,17.5,8.5,0.0
03.08.2019,19.0,0.0,0.0
04.08.2019,18.4,0.0,0.0
05.08.2019,19.3,0.0,0.0
06.08.2019,21.0,1.0,0.0
07.08.2019,20.1,5.5,0.0
08.08.2019,20.0,0.0,0.0
09.08.2019,20.9,0.0,0.0
10.08.2019,23.2,0.0,0.0
11.08.2019,22.0,0.0,0.0
12.08.2019,19.9,0.0,0.0
13.08.2019,17.6,0.0,0.0
14.08.2019,16.0,0.0,0.0
15.08.2019,17.3,0.1,0.0
16.08.2019,17.6,0.0,0.0
17.08.2019,19.6,0.3,0.0
18.08.2019,19.8,10.4,0.0
19.08.2019,18.1,0.0,0.0
20.08.2019,18.1,0.5,0.0
21.08.2019,17.0,0.0,0.0
22.08.2019,17.9,0.0,0.0
23.08.2019,19.5,0.0,0.0
24.08.2019,21.2,0.0,0.0
25.08.2019,24.2,0.0,0.0
26.08.2019,23.0,1.6,0.0
27.08.2019,23.8,0.0,0.0
28.08.2019,24.3,0.0,0.0
29.08.2019,23.4,0.0,0.0
30.08.2019,24.1,0.0,0.0
31.08.2019,25.3,0.0,0.0
01.09.2019,22.4,0.0,0.0
02.09.2019,16.1,0.0,0.0
03.09.2019,15.2,0.0,0.0
04.09.2019,19.1,0.3,0.0
05.09.2019,17.0,0.0,0.0
06.09.2019,13.5,0.0,0.0
07.09.2019,13.3,0.0,0.0
08.09.2019,15.8,1.7,0.0
09.09.2019,13.4,15.7,0.0
10.09.2019,14.6,0.0,0.0
11.09.2019,14.7,0.7,0.0
12.09.2019,16.8,0.0,0.0
13.09.2019,16.3,0.0,0.0
